รหัสสินค้า,รายละเอียด (อังกฤษ),รายละเอียด,หน่วย,จากจำนวน,เป็นจำนวน,ราคาเสนอ,แถม,ส่วนลด %,ส่วนลด,ประเภทภาษี,อัตราภาษี,รหัสสินค้าผู้ขาย,หมายเหตุ,หมายเหตุ
'10000003,BEEF TOP ROUND,เนื้อสะโพกวัวไทย,KG,,,280,,,,N,0,,,
'10000006,BEEF MEAT GROUND,เนื้อไทยบด,KG,,,270,,,,N,0,,,
'10000010,SRIPLOPN AUS EBONY PRIME MB4-5 GRAINFED 5-7.5KG/PCS,เนื้อสันนอกออสเตรเลียเกรด MB4-5/5-7.5กก./ชิ้น,KG,,,580,,,,N,0,,,
'10010013,PORK RIB FROZEN SIZE 600-700G. (6-7KG./BOX),ซี่โครงหมูแผ่นขนาด 5 นิ้ว 600-700 (6-7กก./กล่อง),KG,,,240,,,,N,0,,,
'10010019,PORK LOIN,หมูสันนอก,KG,,,255,,,,N,0,,,
'10030002,SMOKED DUCK BREAST 1 กก.,อกเป็ดรมควัน 1 กก.,KG,,,655,,,,N,0,,,
'10050002,BACON SMOKED US (2.0-2.5 MM/S) 35-43 PCS/KG 5KG.,BACON SMOKED US (2.0-2.5 MM/S) 35-43 PCS/KG 5KG.,CASE,,,950,,,,A,7,,,
'10050005,CHICKEN CHILL BOLOGNA 1.5 KG.,โบโลญญ่าไก่พริก 1.5 กก.,KG,,,165,,,,N,0,,,
'10050007,"CHICKEN SAUSAGE FRESH 3.5"" 1KG.",ไส้กรอกไก่สด 3.5 นิ้ว 1 กก.,KG,,,130,,,,N,0,,,
'10050012,"PORK FRESH SAUSAGE 4""","ไส้กรอกหมูสด 4""",KG,,,285,,,,N,0,,,
'10050015,PEPPERONI,เปปเปอร์โรนี่,KG,,,620,,,,N,0,,,
'10050016,PORK CHILL BOLOGNA 1.5KG.,โบโลญญ่าหมูพริก 1.5 กก.,KG,,,165,,,,N,0,,,
'10050019,CHICKEN BOLOGNA 1.5 KG.,โบโลญญาไก่ 1.5KG.,KG,,,175,,,,N,0,,,
'10050020,CHICKEN HAM,ไก่แฮม,KG,,,170,,,,N,0,,,
'10050021,PORK BOLOGNA 1.5KG.,โบโลญญ่าหมู 1.5KG.,KG,,,165,,,,N,0,,,
'10050022,HAM(PORK),หมูแฮม,KG,,,220,,,,N,0,,,
'10050024,BACON SMOKED FLORIDA KING 1KG.,เบคอนรมควันตราฟลอริด้า 1 กก.,KG,,,190,,,,N,0,,,
'10050025,BACON SMOKED SLIED AA B&B 1KG.,เบคอนสไลด์ เอเอบีแอนบี 1 กก.,KG,,,190,,,,N,0,,,
'10050028,BEER HAM,เบียร์แฮม,KG,,,330,,,,N,0,,,
'10050029,CHICKEN HAM GSB 1KG.(150711),ไก่แผ่นรมควันจีเอสบี 1 กก.(150711),KG,,,170,,,,N,0,,,
'10050033,"CHICKEN SAUSAGE 3.5"" BATAGRO",ไส้กรอกไก่ 3.5นิ้ว(เบทาโกร),KG,,,130,,,,N,0,,,
'10050034,CHORIZO 1.5-1.8 KG.,CHORIZO 1.5-1.8 KG.,KG,,,310,,,,N,0,,,
'10050035,COOKED HAM RODE TSS 1KG.,คุ๊กแฮมทีเอสเอส 1 กก.,KG,,,250,,,,N,0,,,
'10050036,DRIED SALAMI 0.7-1 KG.,ดรายซาลามี่ 0.7-1 กก.,KG,,,650,,,,N,0,,,
'10050040,KOCHSCHINKEN 3.5-4 KG.,คุ๊กชิงเก้นแท่ง 3.5-4 กก.,KG,,,390,,,,N,0,,,
'10050044,PARIS HAM 2 KG,แฮมปารีส 2 KG.,KG,,,415,,,,N,0,,,
'10050047,PORK VIENNA SAUSAGE,ไส้กรอกเวียนนา,KG,,,290,,,,N,0,,,
'10050050,SALAME BELUCKY,ซาลามี่บีลัคกี้,KG,,,650,,,,N,0,,,
'14000012,MILK FRESH 2L.(107753),นมสด 2 ลิตร(107753),GAL,,,84,,,,A,7,,,
'14010009,BUTTER UNSALTED COMPOUND ALLOWRIE 5KG.(65650),เนยจืดอลาวรี่คอมพาวด์บัตเตอร์ 5กก.(65650),BOX,,,910,,,,A,7,,,
'14010011,BUTTER COOKING ALLOWRIE UN-SALT 5 KG.,เนยจืดอลาวรี่ 5 กก./แท่ง,BOX,,,910,,,,A,7,,,
'14020005,CHEESE PARMESAN BLOCK 2.3KG.,พาร์มีซานชีส(แท่ง) 2.3 กก.,KG,,,900,,,,A,7,,,
'14020007,MOZZARELLA CHEESE SHREDDED ANCHOR 2KG. (179715),มอสซาเรลล่าชีสชนิดขูดแองเคอร์ 2 กก.(179715),BAG,,,300,,,,A,7,,,
'14020023,CHEESE MOZZARELLA SHREDDED 1KG.,มอสซาเรลล่าชีสขูดเชรดเคต 1 กก.,KG,,,300,,,,A,7,,,
'14040005,YOGHURT PLAIN GALLON 2KG.,โยเกิร์ตธรรมชาติ 2 กก.,GAL,,,144,,,,A,7,,,
'15000003,NESCAFE CASE 2G.(1*108/ถุง)/(899867),เนสกาแฟซอง 2ก.(1*108/ถุง)/(899867),BAG,,,250,,,,A,7,,,
'15000006,COFFEE MATE SIZE 3G.(1*100)/(899868),คอฟฟี่เมต 3ก.1*100/ถุง,BAG,,,110,,,,A,7,,,
'15070004,CEREAL KOKO KRUNCH NESTLE 1.5KG.(180842),ซีเรียล-โกโก้ครั้นซ์เนสท์เล่ 1.5 กก.(180842),BAG,,,480,,,,A,7,,,
'15070013,CORNFLAKES CEREAL NESTLE 1.5KG.(180864),ซีเรียล-คอร์นเฟลกส์เนสท์เล่ 1.5 กก.(180864),BAG,,,380,,,,A,7,,,
'15100002,JAM ORANGE IMPERIAL 4.5 KG.,แยมส้ม อิมพีเรียล 4.5 กก.,TANK,,,285,,,,A,7,,,
'15100003,JAM PINEAPPLE IMPERIAL 4.5 KG.,แยมสัปปะรด อิมพิเรียล 4.5 กก.,TANK,,,285,,,,A,7,,,
'15100004,JAM STRAWBERRY IMPERIAL  4.5 KG.,แยมสตรอเบอรรี่ อิมพีเรียล 4.5 กก.,TANK,,,285,,,,A,7,,,
'16000001,FARM FRIES SKIN ON WEDGE 12KG.,มันฝรั่งเสี้ยวพระจันทร์ไม่ปรุงรส 12 กก./ลัง,CASE,,,2100,,,,A,7,,,
'16000003,HASH BROWN SUNNY DAY GOLD 450G.(1x12),มันฝรั่งฮัทบราวร์ ซันนี่เดย์โกลล์ 450ก.(1x12),CASE,,,1500,,,,A,7,,,
'17060005,FROZEN SPINACH ARO 1KG.(110002),ใบผักโขมแช่แข็งแบบกลม เอโร่ 1 กก.(110002),KG,,,110,,,,N,0,,,
'20010006,WATER MINERE 500ML. (1x12)/(198281),นํ้าแร่มิเนเร่ 500 มล.(1x12)/(198281),PACK,,,90,,,,A,7,,,
