รหัสสินค้า,รายละเอียด (อังกฤษ),รายละเอียด,หน่วย,จากจำนวน,เป็นจำนวน,ราคาเสนอ,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'12000001,APPLE GREEN,แอปเปิ้ลเขียว(6 ลูก/กก.),PCS,,,10.5,,,,N,0,,
'12000002,APPLE RED,แอปเปิ้ลแดง(6 ลูก/กก.),PCS,,,12,,,,N,0,,
'12000015,JINTARA WATERMELON,แตงโมจินตรา,KG,,,15.5,,,,N,0,,
'12000030,แตงโมกินรี,แตงโมกินรี,KG,,,15.5,,,,N,0,,
'12000029,YOUNG COCONUT(CUT) - GREEN,มะพร้าวอ่อนปอกเปลือกปาดเขียว(ปาดหัว/ท้าย),PCS,,,19,,,,N,0,,
'12000016,KIWI FRUIT (1x6)(192259),กีวี (1x6)(192259),PCS,,,22,,,,N,0,,
'12000034,YOUNG COCONUT(CUT) - WHITE,มะพร้าวอ่อนปาดขาว,PCS,,,25,,,,N,0,,
'12000027,PINEAPPLE SRIRACHA (120101),สับปะรดศรีราชา/ปัตตาเวีย (120101),KG,,,28,,,,N,0,,
'12000059,PAPAYA RIPE,มะละกอแขกดำ(สุก),KG,,,28,,,,N,0,,
'12000013,GUAVA FRUIT-กิมจู,ฝรั่งกิมจู,KG,,,32,,,,N,0,,
'12000026,PINEAPPLE LARGE,สับปะรดใหญ่,PCS,,,33,,,,N,0,,
'12000057,ORANGE LOCAL NO.1,ส้มเขียวหวาน เบอร์ 1,KG,,,33,,,,N,0,,
'12000008,DRAGON FRUIT,แก้วมังกรขาว,KG,,,37,,,,N,0,,
'12000067,TONGDEE POMELO 1 PCS. 120244,ส้มโอทองดี 1 ลูก.(120244),PCS,,,37,,,,N,0,,
'12000050,JUJUBE,พุทรา,KG,,,39,,,,N,0,,
'12000058,ORANGE LOCAL NO.O,ส้มเขียวหวาน เบอร์ 0,KG,,,39,,,,N,0,,
'12000024,PAPAYA HONLAND,มะละกอฮอลแลนด์,KG,,,41,,,,N,0,,
'12000047,DRAGON FRUIT 3 PCS,แก้วมังกรขาว(ขอ3ลูกผลไม้ไหว้ศาล),KG,,,41,,,,N,0,,
'12000041,BANANA FINGER,กล้วยเล็บมือนาง,BUNCH,,,43,,,,N,0,,
'12000035,CANTALOUP ORANGE,แคนตาลูปส้ม,KG,,,44,,,,N,0,,
'12000003,BANANA EGGS,กล้วยไข่,BUNCH,,,45,,,,N,0,,
'12000019,MANGO,มะม่วงดิบ,KG,,,45,,,,N,0,,
'12000037,BANANA LARGE,กล้วยหอม,BUNCH,,,48,,,,N,0,,
'12000056,ORANGE LOCAL,ส้มสายน้ำผึ้ง,KG,,,50,,,,N,0,,
'12000036,CHOKUN ORANGE,ส้มโชกุน(ใหญ่ 5 ลูก/เล็ก 9 ลูกสำหรับผลไม้ไหว้ศาล),KG,,,55,,,,N,0,,
'12000068,แก้วมังกรแดง,แก้วมังกรแดง,KG,,,55,,,,N,0,,
'12000075,ส้มโชกุนลูกใหญ่,ส้มโชกุนลูกใหญ่,KG,,,55,,,,N,0,,
'12000053,LONGAN,ลำไย,KG,,,57,,,,N,0,,
'12000040,AVOCADO(EACH),อโวคาโด(ลูก),PCS,,,58,,,,N,0,,
'12000033,SA LEE FRUIT,สาลี่ทอง,KG,,,60,,,,N,0,,
'12000063,SA LEE FRUIT B 5 / S 5 PCS,สาลี่น้ำผึ้งถ้าใหญ่ 3 / เล็ก 5 ลูก(ผลไม้ไหว้ศาล),KG,,,60,,,,N,0,,
'12000022,ORANGE SUNQUID KG,ส้มซันควิด,KG,,,73,,,,N,0,,
'12000014,JACK FRUIT PEELED WITH SEED,ขนุนแกะ(มีเม็ด),KG,,,75,,,,N,0,,
'12000044,CANTALOUP MELON GREEN (160623),แคนตาลูปเมลอนเขียว(160623),KG,,,75,,,,N,0,,
'12000051,KEOW SAVOY MANGO 1KG. (790998),มะม่วงเขียวเสวย 1 กก.(790998),KG,,,75,,,,N,0,,
'12000009,GRAPE RED IMPORT 1KG.(112406),องุ่นแดงนอก 1 กก.(112406),KG,,,85,,,,N,0,,
'12000054,MANDARIN ORANGE,ส้มแมนดาริน,KG,,,95,,,,N,0,,
'12000039,LEMON YELLOW BIG,มะนาวเหลือง,KG,,,125,,,,N,0,,
'12000010,GRAPES GREEN (320775),องุ่นเขียว(320775),KG,,,160,,,,N,0,,
